"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2018"	"2018"	12	71818	Unreliable
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2020 "	"2020"	20	71875	27.8
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2007"	"2007"	20	128206	15.6
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	15	129023	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	19	130081	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	24	131346	18.3
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2012"	"2012"	24	132088	18.2
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2013"	"2013"	13	129473	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2014"	"2014"	21	127448	16.5
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2015"	"2015"	34	126427	26.9
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2016"	"2016"	26	125770	20.7
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2017"	"2017"	28	124756	22.4
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2018"	"2018"	24	126770	18.9
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2019"	"2019"	27	125922	21.4
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2020 "	"2020"	45	127450	35.3
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2007"	"2007"	10	130442	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2008"	"2008"	16	131853	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2009"	"2009"	17	133477	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2010"	"2010"	18	134421	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2011"	"2011"	22	134511	16.4
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2012"	"2012"	11	136011	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2013"	"2013"	30	136539	22.0
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2014"	"2014"	15	137682	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2015"	"2015"	26	139097	18.7
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2016"	"2016"	18	140908	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2017"	"2017"	27	140776	19.2
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2018"	"2018"	35	142854	24.5
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2019"	"2019"	24	143476	16.7
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2020 "	"2020"	42	142481	29.5
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2007"	"2007"	11	53252	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2009"	"2009"	12	53561	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2010"	"2010"	10	53597	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2012"	"2012"	11	53144	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2013"	"2013"	12	53053	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2014"	"2014"	18	53119	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2015"	"2015"	20	53159	37.6
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2016"	"2016"	22	53556	41.1
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2017"	"2017"	20	53501	37.4
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2018"	"2018"	17	53889	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2019"	"2019"	17	54018	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2020 "	"2020"	16	54303	Unreliable
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2018"	"2018"	10	38072	Unreliable
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2019"	"2019"	10	38837	Unreliable
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2020 "	"2020"	10	39211	Unreliable
	"Arizona"	"04"	"La Paz County, AZ"	"04012"	"2020 "	"2020"	10	21480	Unreliable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2007"	"2007"	575	3711954	15.5
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2008"	"2008"	526	3771061	13.9
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	566	3803779	14.9
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	609	3817117	16.0
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2011"	"2011"	627	3880244	16.2
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2012"	"2012"	630	3942169	16.0
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	705	4009412	17.6
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	695	4087191	17.0
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	707	4167947	17.0
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2016"	"2016"	797	4242997	18.8
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2017"	"2017"	969	4307033	22.5
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2018"	"2018"	1079	4410824	24.5
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2019"	"2019"	1223	4485414	27.3
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2020 "	"2020"	1616	4579081	35.3
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2007"	"2007"	26	199760	13.0
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2008"	"2008"	35	200078	17.5
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2009"	"2009"	53	199696	26.5
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2010"	"2010"	68	200186	34.0
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	57	202351	28.2
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2012"	"2012"	66	203334	32.5
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2013"	"2013"	62	203030	30.5
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2014"	"2014"	58	203361	28.5
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2015"	"2015"	62	204737	30.3
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2016"	"2016"	56	205249	27.3
