,STNAME,CoC Code,Coc,CTYNAME,FIPS code,Year,Drug Deaths
84,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2007,75.0
85,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2008,64.0
86,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2009,71.0
87,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2010,66.0
88,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2011,93.0
89,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2012,96.0
90,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2013,82.0
91,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2014,96.0
92,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2015,86.0
93,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2016,95.0
94,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2017,110.0
95,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2018,106.0
96,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2019,89.0
97,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2020,134.0
430,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2021,216.0
98,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2007,95.0
99,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2008,94.0
100,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2009,99.0
101,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2010,82.0
102,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2011,82.0
103,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2012,87.0
104,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2013,102.0
105,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2014,102.0
106,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2015,103.0
107,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2016,96.0
108,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2017,85.0
109,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2018,109.0
110,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2019,107.0
111,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2020,139.0
431,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2021,169.0
112,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2007,47.0
113,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2008,43.0
114,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2009,46.0
115,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2010,23.0
116,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2011,40.0
117,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2012,35.0
118,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2013,56.0
119,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2014,47.0
120,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2015,40.0
121,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2016,36.0
122,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2017,45.0
123,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2018,36.0
124,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2019,46.0
125,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2020,51.0
432,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2021,50.0
270,New York,NY-600,New York City,Bronx County,36005,2007,173.0
271,New York,NY-600,New York City,Bronx County,36005,2008,137.0
272,New York,NY-600,New York City,Bronx County,36005,2009,134.0
273,New York,NY-600,New York City,Bronx County,36005,2010,111.0
274,New York,NY-600,New York City,Bronx County,36005,2011,134.0
275,New York,NY-600,New York City,Bronx County,36005,2012,165.0
276,New York,NY-600,New York City,Bronx County,36005,2013,155.0
277,New York,NY-600,New York City,Bronx County,36005,2014,141.0
278,New York,NY-600,New York City,Bronx County,36005,2015,225.0
279,New York,NY-600,New York City,Bronx County,36005,2016,330.0
280,New York,NY-600,New York City,Bronx County,36005,2017,360.0
281,New York,NY-600,New York City,Bronx County,36005,2018,397.0
282,New York,NY-600,New York City,Bronx County,36005,2019,408.0
283,New York,NY-600,New York City,Bronx County,36005,2020,558.0
444,New York,NY-600,New York City,Bronx County,36005,2021,816.0
457,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2007,
458,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2008,
459,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2009,
460,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2010,
461,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2011,
462,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2012,
126,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2013,11.0
463,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2014,
464,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2015,
127,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2016,12.0
456,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2017,
128,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2018,12.0
129,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2019,10.0
130,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2020,10.0
433,Colorado,CO-503,Metropolitan Denver,Broomfield County,8014,2021,11.0
256,Nevada,NV-500,Las Vegas/Clark County,Clark County,32003,2007,376.0
257,Nevada,NV-500,Las Vegas/Clark County,Clark County,32003,2008,364.0
258,Nevada,NV-500,Las Vegas/Clark County,Clark County,32003,2009,395.0
259,Nevada,NV-500,Las Vegas/Clark County,Clark County,32003,2010,390.0
260,Nevada,NV-500,Las Vegas/Clark County,Clark County,32003,2011,456.0
