,State,STNAME,Coc,CoC Code,FIPS code,CTYNAME,Year,Population
0,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2007,3872962.0
1,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2007,9734701.0
2,CA,California,San Diego City and County,CA-601,6073,San Diego County,2007,2975656.0
3,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2007,1723927.0
4,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2007,1992989.0
5,CA,California,San Francisco,CA-501,6075,San Francisco County,2007,799185.0
6,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2007,419607.0
7,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2007,543414.0
8,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2007,295691.0
9,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2007,53664.0
10,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2007,578789.0
11,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2007,271955.0
12,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2007,528396.0
13,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2007,586409.0
14,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2007,1169910.0
15,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2007,990790.0
16,IL,Illinois,Chicago,IL-510,17031,Cook County,2007,5235762.0
17,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2007,728819.0
18,MI,Michigan,Detroit,MI-501,26163,Wayne County,2007,1981238.0
19,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2007,1838635.0
20,NY,New York,New York City,NY-600,36005,Bronx County,2007,1385122.0
21,NY,New York,New York City,NY-600,36047,Kings County,2007,2539206.0
22,NY,New York,New York City,NY-600,36061,New York County,2007,1625251.0
23,NY,New York,New York City,NY-600,36081,Queens County,2007,2277779.0
24,NY,New York,New York City,NY-600,36085,Richmond County,2007,482854.0
25,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2007,
26,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2007,3909239.0
27,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2007,412630.0
28,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2007,508260.0
29,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2007,970477.0
30,WA,Washington,Seattle/King,WA-500,53033,King County,2007,1857506.0
31,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2008,3958263.0
32,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2008,9779254.0
33,CA,California,San Diego City and County,CA-601,6073,San Diego County,2008,3019274.0
34,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2008,1755849.0
35,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2008,2004914.0
36,CA,California,San Francisco,CA-501,6075,San Francisco County,2008,808001.0
37,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2008,429597.0
38,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2008,554372.0
39,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2008,300452.0
40,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2008,54813.0
41,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2008,593086.0
42,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2008,281138.0
43,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2008,533295.0
44,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2008,590074.0
45,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2008,1180118.0
46,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2008,1013356.0
47,IL,Illinois,Chicago,IL-510,17031,Cook County,2008,5256705.0
48,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2008,742724.0
49,MI,Michigan,Detroit,MI-501,26163,Wayne County,2008,1949024.0
50,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2008,1879093.0
51,NY,New York,New York City,NY-600,36005,Bronx County,2008,1389315.0
52,NY,New York,New York City,NY-600,36047,Kings County,2008,2549941.0
53,NY,New York,New York City,NY-600,36061,New York County,2008,1631599.0
54,NY,New York,New York City,NY-600,36081,Queens County,2008,2288574.0
55,NY,New York,New York City,NY-600,36085,Richmond County,2008,487365.0
56,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2008,
57,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2008,3980602.0
58,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2008,431238.0
59,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2008,532609.0
60,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2008,998561.0
61,WA,Washington,Seattle/King,WA-500,53033,King County,2008,1884242.0
62,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2009,4023132.0
63,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2009,9848011.0
