,STNAME,CoC Code,Coc,FIPS code,CTYNAME,Year,Population,Male,Female,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races,Non Hispanic,Hispanic
24,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2007,7784,4058,3726,6879,245,79,238,10,333,3847,3937
25,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2008,7863,4043,3820,6882,278,103,246,6,348,3914,3949
26,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2009,7615,4019,3596,6508,272,180,259,7,389,3771,3844
27,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2010,7384,3851,3533,6238,289,178,253,9,417,3647,3737
184,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2011,452209,227299,224910,396190,15610,9578,17550,968,12313,278703,173506
185,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2012,460568,231260,229308,402512,16117,9744,18332,1007,12856,283492,177076
186,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2013,469995,236190,233805,409363,16943,10010,19042,1041,13596,288457,181538
187,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2014,479954,241458,238496,417058,17677,10232,19777,1089,14121,293573,186381
188,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2015,490448,247076,243372,424712,18393,10749,20713,1094,14787,298253,192195
189,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2016,497735,250849,246886,429565,19128,11019,21370,1143,15510,300810,196925
190,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2017,503717,254323,249394,433189,19687,11551,22011,1189,16090,302686,201031
191,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2018,511485,258304,253181,438830,20225,11838,22895,1205,16492,305097,206388
192,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2019,516575,261156,255419,441767,21072,12353,23240,1243,16900,306195,210380
193,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2020,519883,262601,257282,443705,21390,12594,23533,1269,17392,305779,214104
440,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2021,522140,265179,256961,444924,21728,12748,23655,1355,17730,303744,218396
28,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2007,7992,4174,3818,5986,1025,76,287,17,601,5341,2651
29,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2008,7814,4090,3724,5818,949,99,305,16,627,5289,2525
30,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2009,7833,3997,3836,5676,1028,108,314,21,686,5342,2491
31,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2010,7899,4030,3869,5685,1011,116,345,24,718,5424,2475
194,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2011,586433,287441,298992,464073,62386,6394,31466,1407,20707,477448,108985
195,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2012,597052,292872,304180,470688,64195,6462,32773,1401,21533,486602,110450
196,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2013,609089,299125,309964,477865,66138,6643,34375,1534,22534,495940,113149
197,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2014,619681,305010,314671,484179,68113,6733,35785,1628,23243,504005,115676
198,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2015,631688,311482,320206,490252,70157,6937,38114,1804,24424,513239,118449
199,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2016,639605,316109,323496,494093,71695,7107,39757,1915,25038,518606,120999
200,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2017,645080,319190,325890,496108,72850,7427,40947,1990,25758,521223,123857
201,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2018,652395,323088,329307,499441,74460,7603,42465,2033,26393,525694,126701
202,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2019,656051,325369,330682,500729,75482,7765,43025,2139,26911,526663,129388
203,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2020,657452,326642,330810,500026,76306,7796,43578,2196,27550,525792,131660
441,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2021,654900,327434,327466,496029,77041,8027,43439,2227,28137,520174,134726
32,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2007,3301,1700,1601,2991,13,16,141,1,139,2481,820
33,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2008,3132,1620,1512,2828,15,18,126,1,144,2380,752
34,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2009,3009,1550,1459,2649,26,32,124,1,177,2225,784
35,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2010,3142,1631,1511,2746,31,33,130,1,201,2335,807
204,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2011,300045,150442,149603,274047,2982,2580,13055,231,7150,259491,40554
205,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2012,304717,152818,151899,277995,3086,2547,13417,234,7438,263428,41289
206,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2013,309538,155292,154246,281713,3218,2663,13955,236,7753,267431,42107
207,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2014,312525,156892,155633,283858,3360,2648,14480,229,7950,270084,42441
208,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2015,318408,159993,158415,288526,3420,2749,15081,233,8399,274914,43494
209,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2016,321761,161758,160003,290995,3553,2751,15546,239,8677,277757,44004
210,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2017,323019,162551,160468,291683,3641,2782,15835,230,8848,278425,44594
211,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2018,325438,163779,161659,293461,3704,2856,16071,238,9108,280461,44977
212,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2019,326020,164167,161853,293627,3866,2896,16124,244,9263,280902,45118
213,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2020,327171,164664,162507,294333,3949,2927,16259,251,9452,281867,45304
442,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2021,329543,166604,162939,296250,4071,2955,16365,263,9639,283163,46380
80,New York,NY-600,New York City,36005,Bronx County,2007,21923,11092,10831,8793,11005,358,711,69,987,8560,13363
81,New York,NY-600,New York City,36005,Bronx County,2008,22267,11292,10975,9450,10560,452,745,70,990,8714,13553
82,New York,NY-600,New York City,36005,Bronx County,2009,21703,11042,10661,9643,9650,628,753,94,935,8476,13227
83,New York,NY-600,New York City,36005,Bronx County,2010,21025,10695,10330,9092,9442,717,764,95,915,8316,12709
324,New York,NY-600,New York City,36005,Bronx County,2011,1396954,655910,741044,634920,612071,41658,57728,5878,44699,641352,755602
325,New York,NY-600,New York City,36005,Bronx County,2012,1411087,662701,748386,641325,617073,42082,58782,5950,45875,640724,770363
326,New York,NY-600,New York City,36005,Bronx County,2013,1421498,668584,752914,643288,623101,42377,59630,5978,47124,640451,781047
327,New York,NY-600,New York City,36005,Bronx County,2014,1430474,672915,757559,645084,627741,42677,60712,6018,48242,640500,789974
328,New York,NY-600,New York City,36005,Bronx County,2015,1439480,677679,761801,647541,631259,42786,62234,6068,49592,640887,798593
329,New York,NY-600,New York City,36005,Bronx County,2016,1443678,680419,763259,646173,633881,43203,63585,6149,50687,639315,804363
330,New York,NY-600,New York City,36005,Bronx County,2017,1439956,678904,761052,642926,631789,43184,64721,6143,51193,635992,803964
331,New York,NY-600,New York City,36005,Bronx County,2018,1432316,675607,756709,637810,628200,42849,65440,6104,51913,629649,802667
332,New York,NY-600,New York City,36005,Bronx County,2019,1418187,669312,748875,628425,622927,42787,65794,6052,52202,621178,797009
333,New York,NY-600,New York City,36005,Bronx County,2020,1401142,660913,740229,618441,616104,42500,65520,6045,52532,610322,790820
454,New York,NY-600,New York City,36005,Bronx County,2021,1424948,675715,749233,630892,623813,43490,66999,6138,53616,620826,804122
36,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2007,705,368,337,600,7,2,59,0,37,590,115
37,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2008,612,322,290,510,4,2,60,0,36,516,96
38,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2009,616,332,284,513,6,2,54,0,41,514,102
39,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2010,703,371,332,586,7,2,60,0,48,594,109
214,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2011,57485,28484,29001,51292,700,449,3651,53,1340,51001,6484
215,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2012,58971,29290,29681,52674,714,479,3675,57,1372,52116,6855
216,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2013,60158,29774,30384,53693,747,456,3749,61,1452,53096,7062
217,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2014,61791,30554,31237,54975,808,466,3922,77,1543,54485,7306
218,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2015,64914,32185,32729,57652,906,531,4087,83,1655,57095,7819
219,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2016,66596,32985,33611,58838,957,521,4342,97,1841,58473,8123
220,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2017,68340,34008,34332,60088,1063,563,4572,99,1955,59863,8477
221,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2018,69431,34587,34844,60986,1064,563,4716,96,2006,60629,8802
222,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2019,70617,35170,35447,61928,1070,570,4839,99,2111,61611,9006
223,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2020,72236,36141,36095,63075,1189,584,5080,94,2214,62900,9336
443,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2021,75325,37922,37403,65578,1276,626,5444,119,2282,65160,10165
76,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2007,29115,14829,14286,21026,3455,374,1534,255,2471,16588,12527
77,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2008,28527,14642,13885,20249,3520,302,1625,255,2576,16448,12079
