,CoC Number,Coc,Year,permanent_housing,homeless,poverty,unemployment_rate,Population,Male,Female,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races,Non Hispanic,Hispanic,Drug Deaths,Suicide Deaths
0,AZ-502,"Phoenix,Mesa/Maricopa",2007,2014.0,8448,3832171.0,3.2,3872962,1952456,1920506,3402742,189236,87101,116484,8984,68415,2684004,1188958,575.0,568.0
1,AZ-502,"Phoenix,Mesa/Maricopa",2008,2523.0,7189,3903475.0,5.1,3958263,1996950,1961313,3465898,199834,88851,122501,9364,71815,2718008,1240255,526.0,540.0
2,AZ-502,"Phoenix,Mesa/Maricopa",2009,2529.0,7889,3972331.0,8.9,4023132,2030550,1992582,3513005,209298,89262,127259,9675,74633,2742486,1280646,566.0,524.0
3,AZ-502,"Phoenix,Mesa/Maricopa",2010,3013.0,6999,3772257.0,9.5,3817117,1888465,1928652,3268366,205732,99663,140285,10115,92956,2688376,1128741,609.0,564.0
4,AZ-502,"Phoenix,Mesa/Maricopa",2011,3214.0,5831,3824961.0,8.5,3875371,1915659,1959712,3303462,212348,101821,149099,10314,98327,2724688,1150683,627.0,621.0
5,AZ-502,"Phoenix,Mesa/Maricopa",2012,4479.0,6485,3885344.0,7.3,3948165,1952336,1995829,3351785,220472,105117,156791,10637,103363,2769106,1179059,630.0,604.0
6,AZ-502,"Phoenix,Mesa/Maricopa",2013,4717.0,5889,3951626.0,6.6,4018657,1987399,2031258,3397404,228289,108668,164859,10929,108508,2811179,1207478,705.0,629.0
7,AZ-502,"Phoenix,Mesa/Maricopa",2014,5478.0,5918,4023019.0,5.8,4094842,2025225,2069617,3447471,236428,112536,173669,11236,113502,2856067,1238775,695.0,654.0
8,AZ-502,"Phoenix,Mesa/Maricopa",2015,5319.0,5631,4103850.0,5.1,4174423,2064762,2109661,3500088,246967,115750,181489,11526,118603,2901610,1272813,707.0,673.0
9,AZ-502,"Phoenix,Mesa/Maricopa",2016,5806.0,5702,4175417.0,4.7,4258019,2105955,2152064,3553696,258282,118860,191248,11887,124046,2950840,1307179,797.0,691.0
10,AZ-502,"Phoenix,Mesa/Maricopa",2017,6498.0,5605,4239908.0,4.3,4329227,2141309,2187918,3600583,268026,121644,197992,12267,128715,2989049,1340178,969.0,678.0
11,AZ-502,"Phoenix,Mesa/Maricopa",2018,7354.0,6298,4344976.0,4.1,4405306,2178372,2226934,3652219,278644,124643,203002,12601,134197,3032543,1372763,1079.0,737.0
12,AZ-502,"Phoenix,Mesa/Maricopa",2019,6641.0,6614,4416338.0,4.2,4492261,2220757,2271504,3710128,289834,128007,210900,13072,140320,3084002,1408259,1223.0,733.0
13,AZ-502,"Phoenix,Mesa/Maricopa",2020,6195.0,7419,4508350.0,7.2,4579081,2263436,2315645,3769382,300001,131225,218410,13547,146516,3135903,1443178,1616.0,716.0
14,AZ-502,"Phoenix,Mesa/Maricopa",2021,6205.0,3650,4431245.0,4.5,4496588,2235024,2261564,3686444,300365,132593,216046,13419,147721,3059887,1436701,1697.0,739.0
15,CA-500,San Jose/Santa Clara City & County,2007,1170.0,7202,1720787.0,4.6,1723927,879511,844416,1077601,49456,13056,530966,7427,45421,1281872,442055,141.0,144.0
16,CA-500,San Jose/Santa Clara City & County,2008,1462.0,7202,1736343.0,6.0,1755849,896298,859551,1088330,50257,13403,549430,7534,46895,1300464,455385,114.0,161.0
17,CA-500,San Jose/Santa Clara City & County,2009,1300.0,7086,1755841.0,11.0,1784642,911518,873124,1098769,51073,13826,565222,7670,48082,1315678,468964,115.0,153.0
18,CA-500,San Jose/Santa Clara City & County,2010,2106.0,7086,1760897.0,10.7,1781642,893851,887791,1046294,51766,24956,582020,8709,67897,1302432,479210,133.0,148.0
19,CA-500,San Jose/Santa Clara City & County,2011,2493.0,7067,1782850.0,9.5,1811891,909115,902776,1050830,52247,24725,604231,9129,70729,1326273,485618,144.0,164.0
20,CA-500,San Jose/Santa Clara City & County,2012,3183.0,7053,1811534.0,8.0,1837605,922963,914642,1054384,52754,24658,623565,9293,72951,1348826,488779,142.0,151.0
21,CA-500,San Jose/Santa Clara City & County,2013,3338.0,7631,1835157.0,6.6,1866050,937941,928109,1058324,53283,24696,645219,9526,75002,1373503,492547,152.0,152.0
22,CA-500,San Jose/Santa Clara City & County,2014,3683.0,7567,1867602.0,5.2,1891286,952164,939122,1059146,53839,24487,667164,9713,76937,1396692,494594,134.0,156.0
23,CA-500,San Jose/Santa Clara City & County,2015,2794.0,6556,1891080.0,4.2,1915736,965904,949832,1056665,53920,24105,692530,9826,78690,1420923,494813,141.0,156.0
24,CA-500,San Jose/Santa Clara City & County,2016,2822.0,6524,1893000.0,3.8,1928144,973172,954972,1046215,54155,23985,713885,9942,79962,1436290,491854,150.0,147.0
25,CA-500,San Jose/Santa Clara City & County,2017,4275.0,7394,1911659.0,3.2,1932251,977237,955014,1031579,54170,23515,732047,10134,80806,1444700,487551,157.0,142.0
26,CA-500,San Jose/Santa Clara City & County,2018,4220.0,7254,1911186.0,2.7,1931985,978478,953507,1015887,54495,23080,746466,10158,81899,1449244,482741,175.0,157.0
27,CA-500,San Jose/Santa Clara City & County,2019,3276.0,9706,1900407.0,2.5,1922411,974693,947718,996284,54176,22762,756911,10116,82162,1445642,476769,216.0,172.0
28,CA-500,San Jose/Santa Clara City & County,2020,3955.0,9605,1879500.0,7.2,1907105,967756,939349,974387,54392,22631,764100,9825,81770,1435519,471586,302.0,174.0
29,CA-500,San Jose/Santa Clara City & County,2021,4540.0,2301,1858937.0,4.7,1885508,960462,925046,952310,54190,22742,764874,9711,81681,1413990,471518,321.0,153.0
30,CA-501,San Francisco,2007,4995.0,5703,754436.0,4.2,799185,405953,393232,459394,55636,4320,253628,3964,22243,686357,112828,186.0,112.0
31,CA-501,San Francisco,2008,5233.0,5171,797587.0,5.3,808001,410317,397684,466628,54807,4427,255274,3956,22909,693145,114856,173.0,93.0
32,CA-501,San Francisco,2009,6043.0,5823,803979.0,9.1,815358,414059,401299,473081,54598,4573,255681,4010,23415,697866,117492,172.0,97.0
33,CA-501,San Francisco,2010,6710.0,5823,789928.0,9.1,805235,408462,396773,439461,51555,6976,271876,3778,31589,683461,121774,170.0,96.0
34,CA-501,San Francisco,2011,6998.0,5669,797283.0,8.2,815694,413972,401722,444016,50460,6987,277592,3854,32785,691664,124030,194.0,103.0
35,CA-501,San Francisco,2012,7588.0,5895,810697.0,6.9,828963,421351,407612,450976,49806,7003,283417,3873,33888,702373,126590,136.0,73.0
36,CA-501,San Francisco,2013,6637.0,7008,822030.0,5.5,839695,427517,412178,455071,49566,6945,289271,3878,34964,711522,128173,130.0,72.0
37,CA-501,San Francisco,2014,6843.0,6408,837036.0,4.4,850918,433889,417029,459449,49126,6821,295514,3928,36080,721422,129496,164.0,71.0
38,CA-501,San Francisco,2015,7051.0,6775,849842.0,3.7,863237,440483,422754,464234,48854,6773,302252,3893,37231,732114,131123,196.0,98.0
39,CA-501,San Francisco,2016,7599.0,6996,855884.0,3.3,871343,444435,426908,465996,48653,6653,307834,3893,38314,739017,132326,186.0,114.0
40,CA-501,San Francisco,2017,8254.0,6858,868690.0,2.9,877471,447894,429577,466216,48818,6660,312407,3963,39407,744310,133161,184.0,101.0
41,CA-501,San Francisco,2018,9556.0,6857,867735.0,2.4,879676,448829,430847,465246,48759,6569,314701,3972,40429,746107,133569,237.0,78.0
42,CA-501,San Francisco,2019,10797.0,8035,865424.0,2.2,878826,448152,430674,461967,48579,6526,316685,4004,41065,745518,133308,402.0,90.0
43,CA-501,San Francisco,2020,10051.0,8124,849348.0,8.0,866606,441638,424968,451167,48069,6357,316220,3942,40851,734641,131965,547.0,77.0
44,CA-501,San Francisco,2021,10292.0,4000,798372.0,5.0,815201,416907,398294,416171,46164,6221,303648,3817,39180,687171,128030,554.0,76.0
45,CA-600,Los Angeles City & County,2007,6870.0,47862,9717419.0,5.1,9734701,4824222,4910479,7206818,924968,95152,1292990,33477,181296,5142567,4592134,755.0,687.0
46,CA-600,Los Angeles City & County,2008,8077.0,47862,9705821.0,7.5,9779254,4848351,4930903,7239811,919233,95559,1307086,33725,183840,5127538,4651716,707.0,810.0
47,CA-600,Los Angeles City & County,2009,16445.0,33243,9690311.0,11.7,9848011,4885793,4962218,7291271,919874,96946,1319195,33799,186926,5118618,4729393,770.0,787.0
48,CA-600,Los Angeles City & County,2010,17008.0,33243,9675347.0,12.6,9818605,4839654,4978951,7056710,920648,146005,1393578,36443,265221,5130716,4687889,700.0,809.0
49,CA-600,Los Angeles City & County,2011,17115.0,34622,9735899.0,12.2,9873700,4863389,5010311,7081018,920197,146065,1416260,36619,273541,5140614,4733086,684.0,778.0
50,CA-600,Los Angeles City & County,2012,20802.0,31553,9810434.0,11.0,9931394,4891478,5039916,7105521,922746,146790,1438650,36904,280783,5162623,4768771,682.0,769.0
51,CA-600,Los Angeles City & County,2013,11867.0,35524,9858931.0,9.8,9987189,4919940,5067249,7125720,924836,146864,1464161,37104,288504,5186468,4800721,815.0,798.0
52,CA-600,Los Angeles City & County,2014,14749.0,34393,9958684.0,8.2,10033449,4943255,5090194,7139021,924099,146972,1490142,37140,296075,5206532,4826917,735.0,818.0
53,CA-600,Los Angeles City & County,2015,17072.0,41174,10011595.0,6.7,10077263,4965853,5111410,7149831,921256,146875,1518807,37245,303249,5226971,4850292,732.0,823.0
54,CA-600,Los Angeles City & County,2016,20707.0,43854,9981948.0,5.3,10094865,4975091,5119774,7147727,916573,146823,1537542,37245,308955,5228937,4865928,821.0,843.0
55,CA-600,Los Angeles City & County,2017,20635.0,52442,10007071.0,4.8,10092365,4975410,5116955,7127094,912145,146663,1555006,36979,314478,5224186,4868179,917.0,891.0
