,CoC Number,Coc,Year,permanent_housing,homeless,poverty,unemployment_rate,Population,Male,Female,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races,Non Hispanic,Hispanic,Drug Deaths,Suicide Deaths
0,AZ-502,"Phoenix,Mesa/Maricopa",2007,52.0015430050695,218.12762428342958,98946.77510391272,3200.0,3872962,50412.47499975471,49587.52500024529,87858.90488984916,4886.079439973849,2248.9505448284804,3007.620524033027,231.96716105141235,1766.4774402640664,69301.06724517308,30698.932754826925,14.846517988041194,14.665777769056344
1,AZ-502,"Phoenix,Mesa/Maricopa",2008,63.74007992899916,181.62006920712443,98615.85751123661,5100.0,3958263,50450.15957757228,49549.84042242772,87561.08424326529,5048.527599100918,2244.696726821841,3094.8170952763876,236.56841397350303,1814.305921562059,68666.6853617357,31333.31463826431,13.28865717108742,13.642347666135372
2,AZ-502,"Phoenix,Mesa/Maricopa",2009,62.861472106806346,196.09100571395618,98737.2773252282,8900.0,4023132,50471.8711690295,49528.1288309705,87320.15255775848,5202.364724796502,2218.7191471719048,3163.1823166627396,240.48427941215948,1855.096974198212,68167.93483286156,31832.06516713844,14.068641048814705,13.024678285475098
3,AZ-502,"Phoenix,Mesa/Maricopa",2010,78.93391792811171,183.35827798833517,98824.76748813306,9500.0,3817117,49473.59486230053,50526.40513769947,85623.94079091628,5389.722138462091,2610.9495726748746,3675.1558833538506,264.99056748849983,2435.241047104398,70429.48906203295,29570.51093796706,15.954449392041166,14.775549190658815
4,AZ-502,"Phoenix,Mesa/Maricopa",2011,82.93399522265095,150.463013734685,98699.22131326265,8500.0,3875371,49431.62861052529,50568.37138947471,85242.47097890757,5479.42377645908,2627.387158545595,3847.3477765096554,266.14226096030546,2537.228048617797,70307.79762763358,29692.20237236641,16.17909614331118,16.024272256772317
5,AZ-502,"Phoenix,Mesa/Maricopa",2012,113.44510677745231,164.25352030626888,98408.85575957439,7300.0,3948165,49449.19981814337,50550.80018185663,84894.75490512681,5584.163782415375,2662.4267222874423,3971.2372709853817,269.41629845763794,2618.0010207273504,70136.53178121988,29863.468218780115,15.95677992181178,15.298246147260816
6,AZ-502,"Phoenix,Mesa/Maricopa",2013,117.3775218935082,146.54149383736905,98332.00494593094,6600.0,4018657,49454.30774509992,50545.69225490009,84540.78066378892,5680.728661341339,2704.0874600643947,4102.340657587846,271.95652677001294,2700.1060304474854,69953.19580645973,30046.804193540276,17.543174249506738,15.651995181474806
7,AZ-502,"Phoenix,Mesa/Maricopa",2014,133.7780554170344,144.52328075173597,98246.01291087666,5800.0,4094842,49457.95222379765,50542.04777620236,84190.57438602026,5773.800307801864,2748.2379051499424,4241.164860573375,274.39398150160616,2771.8285589529464,69747.9170136479,30252.082986352096,16.972571835494506,15.971312202033682
8,AZ-502,"Phoenix,Mesa/Maricopa",2015,127.41880734175719,134.89289417962675,98309.39509484304,5100.0,4174423,49462.2131010681,50537.7868989319,83846.0309364911,5916.194884897865,2772.838306036547,4347.642776019584,276.1100156836047,2841.183080871296,69509.24714625231,30490.752853747694,16.936472417864696,16.12198859578917
9,AZ-502,"Phoenix,Mesa/Maricopa",2016,136.35448784986633,133.9120374991281,98060.08380892617,4700.0,4258019,49458.56277297025,50541.43722702975,83458.90424631735,6065.778475859314,2791.438929699468,4491.478314211374,279.16737806947316,2913.2326558430104,69300.77108627275,30699.22891372725,18.717624322484234,16.22820377269336
10,AZ-502,"Phoenix,Mesa/Maricopa",2017,150.09607950795836,129.46884051125062,97936.83722290376,4300.0,4329227,49461.693738859154,50538.30626114084,83169.18932640862,6191.082149307486,2809.831870678068,4573.379959055046,283.35312516530087,2973.163569385482,69043.48051049298,30956.519489507016,22.38274869855519,15.66099444542871
11,AZ-502,"Phoenix,Mesa/Maricopa",2018,166.93505513578398,142.96396209480113,98630.51511064159,4100.0,4405306,49448.82375934839,50551.17624065162,82905.00137788385,6325.190576999646,2829.3834752909333,4608.124838546971,286.0414236831675,3046.2583075954312,68838.41894297468,31161.581057025323,24.493190711383043,16.72982535151928
12,AZ-502,"Phoenix,Mesa/Maricopa",2019,147.83201599372788,147.2309823494227,98309.91565271921,4200.0,4492261,49435.17306763788,50564.82693236211,82589.32417328378,6451.8513060572395,2849.5005076508246,4694.740577183739,290.9893258650822,3123.594109959328,68651.4430038682,31348.556996131792,27.224598036489866,16.31695041761821
13,AZ-502,"Phoenix,Mesa/Maricopa",2020,135.2891551820114,162.01940957148386,98455.34507906718,7200.0,4579081,49429.91836134805,50570.081638651944,82317.43443717199,6551.554777039323,2865.7496995576184,4769.734363729316,295.8453890638755,3199.681333437867,68483.2393224754,31516.760677524595,35.290924095904835,15.636325280116251
14,AZ-502,"Phoenix,Mesa/Maricopa",2021,137.99351864124532,81.17265802426195,98546.8315086906,4500.0,4496588,49704.88735014193,50295.11264985806,81983.13921577872,6679.842582865052,2948.746916550949,4804.665226167041,298.4262734322113,3285.179785206027,68049.0852175027,31950.914782497308,37.73972621018425,16.43468336436427
15,CA-500,San Jose/Santa Clara City & County,2007,67.86830300819003,417.7671096281919,99817.85771671307,4600.0,1723927,51017.87952738138,48982.12047261862,62508.50529053724,2868.798968865851,757.3406530554948,30799.796047048396,430.8187063605361,2634.740334132478,74357.67291770475,25642.327082295247,8.17900061893572,8.35302190870031
