,STNAME,CoC Code,Coc,CTYNAME,FIPS code,Year,Suicide Deaths
84,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2007,72.0
85,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2008,69.0
86,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2009,71.0
87,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2010,51.0
88,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2011,66.0
89,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2012,86.0
90,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2013,71.0
91,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2014,84.0
92,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2015,86.0
93,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2016,84.0
94,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2017,108.0
95,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2018,111.0
96,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2019,102.0
97,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2020,114.0
435,Colorado,CO-503,Metropolitan Denver,Adams County,8001,2021,104.0
98,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2007,91.0
99,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2008,86.0
100,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2009,102.0
101,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2010,70.0
102,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2011,103.0
103,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2012,100.0
104,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2013,111.0
105,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2014,115.0
106,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2015,106.0
107,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2016,119.0
108,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2017,116.0
109,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2018,114.0
110,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2019,122.0
111,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2020,113.0
436,Colorado,CO-503,Metropolitan Denver,Arapahoe County,8005,2021,148.0
112,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2007,43.0
113,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2008,46.0
114,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2009,61.0
115,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2010,60.0
116,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2011,53.0
117,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2012,59.0
118,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2013,56.0
119,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2014,51.0
120,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2015,59.0
121,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2016,53.0
122,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2017,63.0
123,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2018,64.0
124,Colorado,CO-503,Metropolitan Denver,Boulder County,8013,2019,55.0
